#options: 2580x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5070 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:124 out:123 type:P dur:2 cpbdur:2 q:34.99 aq:26.99 tex:96120 mv:38857 misc:8167 imb:1163 pmb:3345 smb:6508 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:34.94 aq:30.30 tex:6002 mv:15912 misc:4990 imb:82 pmb:1404 smb:9530 d:- ref:0 ;
in:126 out:125 type:P dur:2 cpbdur:2 q:35.06 aq:26.08 tex:112772 mv:40459 misc:8473 imb:1428 pmb:3391 smb:6197 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:35.03 aq:29.40 tex:6557 mv:19120 misc:5315 imb:115 pmb:1594 smb:9307 d:- ref:0 ;
in:128 out:127 type:P dur:2 cpbdur:2 q:35.19 aq:25.88 tex:111637 mv:41807 misc:8828 imb:1203 pmb:3731 smb:6082 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:35.13 aq:28.71 tex:5290 mv:14131 misc:4627 imb:48 pmb:1349 smb:9619 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:35.17 aq:27.13 tex:76354 mv:25754 misc:7076 imb:527 pmb:2672 smb:7817 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:35.18 aq:28.82 tex:8580 mv:11893 misc:4695 imb:53 pmb:1359 smb:9604 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:35.19 aq:30.64 tex:4261 mv:16089 misc:4314 imb:41 pmb:1612 smb:9363 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:35.17 aq:31.14 tex:2600 mv:7537 misc:3191 imb:13 pmb:758 smb:10245 d:- ref:0 ;
